Blunt Object,Category of Force Event - Measured at Event Level,Disposition/Custody,DOW,Firearm,Firearm - Implied,Firearm - Replica,Force Applied - 1,Force Applied - 2,Force Applied - 3,Force Applied - 4,Force Applied - 5,Force Applied - 6,Force Applied - 7,Force Applied - 8,Hour (6Hr),Initial Call Category,Initial Call type,Knife / Edged Weapon / Stabbing Instrument,"Mental Health Crisis - Prior to Force, Perceived Lack of Compliance",Needle / Spit / Bodily Fluids,No weapon (unarmed),Officer,Officer Precinct,Officer Tenure,Other Weapon,Record ID,Subject,Subject - Race,Subject - Sex,Subject - Transient,Subject Age,Subject Instance,Subject Resistance - 1,Subject Resistance - 2,Subject Resistance - 3,Subject Resistance - 4,Subject Resistance - 5,Subject Resistance - 6,Subject Resistance - 7,Subject Resistance - 8,Type of Call,"Under the Influence of Alcohol - Prior to Force, Perceived Condition","Under the Influence of Drugs - Prior to Force, Perceived Condition",Weapon Present or reported but not used or threatened use,Record Count,Record Count,Month-Year
,III,Arrest-Felony,Sunday,,,,CEW,CEW,,,,,,,1800-2359,Disturbance,DISTURBANCE - WITH WEAPON *H,Knife / Edged Weapon / Stabbing Instrument,,,,1049550,North Precinct,18,,275547540,3771137,White,Male,Yes,42,279318677,Aggressive,Unclear,,,,,,,Dispatched,,,,1,1,Jun-20
,III,Arrest-Felony,Sunday,,,,CEW,Control Against Resistance,Takedown (II and III),Resisted HC,,,,,1800-2359,Assault,ASSAULT - COLD,,,,No weapon (unarmed),604800,North Precinct,18,,483558872,1861824,White,Male,No,46,485420696,Active,Active,Aggressive,Aggressive,,,,,Self-Initiated,,,,1,1,Nov-21
,III,Arrest-Felony,Sunday,,,,CEW,Resisted HC,,,,,,,0000-0559,Vandalism,VANDALISM - PRIORITY,,,,,882128,North Precinct,28,,179546949,4110640,Black,Male,Yes,28,183657589,Aggressive,Active,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,1,1,Apr-20
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),1042951,North Precinct,4,,170529369,1375768,Hispanic,Female,No,17,1710000000000000,Aggressive,,,,,,,,Dispatched,Yes,,,1,1,Oct-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),882128,North Precinct,27,,170529369,1375768,Hispanic,Female,No,17,1710000000000000,Aggressive,,,,,,,,Dispatched,Yes,,,1,1,Oct-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),777121,East Precinct,2,,175529619,628918,Hispanic,Male,No,32,176000000000000,Active,,,,,,,,Dispatched,,,,1,1,Nov-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,0000-0559,Theft,THEFT - PRIORITY,,,,,249371,North Precinct,6,,153548899,481911,Black,Male,Yes,24,154030810,Aggressive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Oct-20
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,0000-0559,Vandalism,VANDALISM - PRIORITY,,,,,945541,North Precinct,10,,179546949,4110640,Black,Male,Yes,28,183657589,Aggressive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,1,1,Apr-20
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,0600-1159,Collision,ACCIDENT - UNKNOWN INJURY,,,,No weapon (unarmed),749120,East Precinct,12,,181527789,1276818,Black,Male,No,20,1820000000000000,Active,,,,,,,,Dispatched,Yes,,,1,1,Jun-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,Yes,,No weapon (unarmed),901731,Central Precinct,7,,317539131,3846466,Black,Male,Yes,45,321385597,Active,,,,,,,,Dispatched,,Yes,,1,1,Oct-19
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,0600-1159,Subject Stop,PERSON CONTACT (86),,,Needle / Spit / Bodily Fluids,,894731,Central Precinct,6,,250529770,3997155,White,Male,No,26,2510000000000000,Active,,,,,,,,Self-Initiated,Yes,Yes,,1,1,Dec-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,1200-1759,Behavioral Health,ECIT,,,,No weapon (unarmed),650810,Central Precinct,17,,725556575,270096,White,Male,No,43,725826671,Active,,,,,,,,Dispatched,,,,1,1,Apr-21
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,1200-1759,Vandalism,VANDALISM - PRIORITY,,,,No weapon (unarmed),894431,East Precinct,0,,119546709,4122489,White,Male,Yes,34,123669198,Active,,,,,,,,Dispatched,,Yes,,1,1,Mar-20
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,1800-2359,Assault,ASSAULT - PRIORITY,,,,No weapon (unarmed),490291,East Precinct,1,,790528425,266854,Black,Female,No,29,791000000000000,Aggressive,,,,,,,,Dispatched,,,,1,1,Aug-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,1800-2359,Assault,ASSAULT - PRIORITY,,,,No weapon (unarmed),705909,Detectives,22,,965539217,1357036,Black,Male,No,15,966896253,Aggressive,,,,,,,,Dispatched,,,,1,1,Nov-19
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,1800-2359,Assault,ASSAULT - PRIORITY,,,,No weapon (unarmed),937541,North Precinct,10,,965539217,1357036,Black,Male,No,15,966896253,Aggressive,,,,,,,,Dispatched,,,,1,1,Nov-19
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,1800-2359,Stolen Vehicle,VEHICLE STOLEN - COLD,,,,,915731,East Precinct,8,,654557794,610150,White,Male,Unknown,22,655167944,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Aug-21
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,1800-2359,Stolen Vehicle,VEHICLE STOLEN - COLD,,,,,626408,East Precinct,23,,654557794,610150,White,Male,Unknown,22,655167944,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Aug-21
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,1800-2359,Threat,THREAT - WITH WEAPON *H,Knife / Edged Weapon / Stabbing Instrument,,,,438291,Central Precinct,2,,404548151,124400,White,Female,Yes,56,404672551,Active,,,,,,,,Dispatched,,,,1,1,Aug-20
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,,,427089,TOD,13,,163527359,556492,Black,Male,Yes,24,164000000000000,Active,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,1,1,May-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,1800-2359,Welfare Check,WELFARE CHECK - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,,,,834931,Central Precinct,4,,841527446,467980,Black,Male,No,30,842000000000000,Aggressive,,,,,,,,Dispatched,,,,1,1,May-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,,,,,,,,-,Theft,THEFT - COLD,,No,,,334481,East Precinct,9,Vehicle,208519339,3784993,Black,Male,Yes,45,3780000000000000,Active,,,,,,,,Dispatched,Yes,,,1,1,Nov-17
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Control Against Resistance,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),882231,East Precinct,1,,475529022,527520,Hispanic,Male,No,28,476000000000000,Active,Active,,,,,,,Dispatched,,,,1,1,Sep-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Control Against Resistance,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),808220,North Precinct,12,,170529369,480177,White,Male,No,17,171000000000000,Active,Active,,,,,,,Dispatched,Yes,,,1,1,Oct-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Control Against Resistance,,,,,,,0000-0559,Subject Stop,PERSON CONTACT (86),,,Needle / Spit / Bodily Fluids,,405881,Central Precinct,4,,250529770,3997155,White,Male,No,26,2510000000000000,Aggressive,Aggressive,,,,,,,Self-Initiated,Yes,Yes,,1,1,Dec-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Control Against Resistance,,,,,,,1800-2359,Assault,ASSAULT - PRIORITY,,,,No weapon (unarmed),856631,Detectives,10,,965539217,1357036,Black,Male,No,15,966896253,Active,Active,,,,,,,Dispatched,,,,1,1,Nov-19
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Control Against Resistance,,,,,,,1800-2359,Welfare Check,WELFARE CHECK - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,,,,920631,Central Precinct,7,,841527446,467980,Black,Male,No,30,842000000000000,Aggressive,Active,,,,,,,Dispatched,,,,1,1,May-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Control Against Resistance,Takedown (II and III),Control Against Resistance,Resisted HC,,,,1800-2359,Assault,ASSAULT - PRIORITY,,,,No weapon (unarmed),148661,Central Precinct,7,,755526495,3694139,White,Female,Yes,37,3690000000000000,Active,Active,Active,Active,Active,,,,Dispatched,,Yes,,1,1,Mar-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Control Against Resistance,Takedown (IV),Control Against Resistance,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,Yes,,No weapon (unarmed),571001,Central Precinct,4,,317539131,3846466,Black,Male,Yes,45,321385597,Active,Active,Aggressive,Active,,,,,Dispatched,,Yes,,1,1,Oct-19
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Resisted HC,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),1042951,North Precinct,4,,170529369,480177,White,Male,No,17,171000000000000,Aggressive,Active,,,,,,,Dispatched,Yes,,,1,1,Oct-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Resisted HC,,,,,,,0000-0559,Subject Stop,PERSON CONTACT (86),,,Needle / Spit / Bodily Fluids,,372278,Central Precinct,1,,250529770,3997155,White,Male,No,26,2510000000000000,Aggressive,Aggressive,,,,,,,Self-Initiated,Yes,Yes,,1,1,Dec-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Resisted HC,,,,,,,-,Restraining Order Violation,RESTRAINING ORDER VIOLATION - PRIORITY,,,,No weapon (unarmed),249970,TOD,13,,963519567,305485,Black,Male,Yes,31,305000000000000,Active,Active,,,,,,,Dispatched,,Yes,,1,1,Nov-17
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Resisted HC,,,,,,,-,Theft,THEFT - COLD,,No,,,536699,East Precinct,12,Vehicle,208519339,3784993,Black,Male,Yes,45,3780000000000000,Active,Active,,,,,,,Dispatched,Yes,,,1,1,Nov-17
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Resisted HC,Baton - pry,Hobble,Control Against Resistance,,,,0000-0559,Subject Stop,PERSON CONTACT (86),,,Needle / Spit / Bodily Fluids,,775521,Central Precinct,9,,250529770,3997155,White,Male,No,26,2510000000000000,Aggressive,Aggressive,Aggressive,Aggressive,Active,,,,Self-Initiated,Yes,Yes,,1,1,Dec-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Resisted HC,Control Against Resistance,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),882128,North Precinct,27,,170529369,480177,White,Male,No,17,171000000000000,Aggressive,Active,Active,,,,,,Dispatched,Yes,,,1,1,Oct-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Resisted HC,Takedown (II and III),Hobble,,,,,0600-1159,Collision,ACCIDENT - UNKNOWN INJURY,,,,No weapon (unarmed),751121,East Precinct,2,,181527789,1276818,Black,Male,No,20,1820000000000000,Active,Active,Aggressive,Aggressive,,,,,Dispatched,Yes,,,1,1,Jun-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Resisted HC,Takedown (II and III),Hobble,,,,,0600-1159,Collision,ACCIDENT - UNKNOWN INJURY,,,,No weapon (unarmed),927141,Traffic,2,,181527789,1276818,Black,Male,No,20,1820000000000000,Active,Active,Aggressive,Aggressive,,,,,Dispatched,Yes,,,1,1,Jun-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Strikes/kicks,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),551100,East Precinct,13,,475529022,527520,Hispanic,Male,No,28,476000000000000,Aggressive,Aggressive,,,,,,,Dispatched,,,,1,1,Sep-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Strikes/kicks,Strikes/kicks,Resisted HC,,,,,1800-2359,Disorder,911 HANGUP,,,,,551100,East Precinct,15,Biting,722557285,3834387,White,Male,No,34,726391672,Aggressive,Aggressive,Aggressive,Active,,,,,Dispatched,Yes,,,1,1,Jun-21
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Strikes/kicks,Strikes/kicks,Strikes/kicks,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),882131,East Precinct,2,,475529022,527520,Hispanic,Male,No,28,476000000000000,Active,Aggressive,Aggressive,Aggressive,,,,,Dispatched,,,,1,1,Sep-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Takedown (II and III),,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,,,916531,TOD,9,,163527359,556492,Black,Male,Yes,24,164000000000000,Active,Aggressive,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,1,1,May-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Takedown (II and III),,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,,,1065150,TOD,12,,163527359,556492,Black,Male,Yes,24,164000000000000,Active,Aggressive,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,1,1,May-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Takedown (II and III),,,,,,,1800-2359,Welfare Check,WELFARE CHECK - PRIORITY,,,,No weapon (unarmed),1056249,East Precinct,13,,276555770,388131,Black,Female,No,34,276943901,Aggressive,Aggressive,,,,,,,Dispatched,,Yes,,1,1,Jan-21
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Takedown (II and III),,,,,,,1800-2359,Welfare Check,WELFARE CHECK - PRIORITY,,,,No weapon (unarmed),351681,East Precinct,8,,984548287,4153026,White,Male,No,22,988701313,Aggressive,Aggressive,,,,,,,Dispatched,,Yes,,1,1,Aug-20
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Takedown (II and III),CEW,,,,,,1800-2359,Assault,ASSAULT - COLD,,,,No weapon (unarmed),248472,North Precinct,2,,483558872,1861824,White,Male,No,46,485420696,Active,Aggressive,Aggressive,Null,,,,,Self-Initiated,,,,1,1,Nov-21
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Takedown (II and III),Control Against Resistance,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,Yes,,No weapon (unarmed),715011,Central Precinct,14,,754556645,156116,White,Male,Yes,52,754712761,Active,Active,Active,,,,,,Dispatched,,,,1,1,Apr-21
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Takedown (II and III),Control Against Resistance,,,,,,1800-2359,Assault,ASSAULT - PRIORITY,,,,No weapon (unarmed),834931,Central Precinct,3,,755526495,3694139,White,Female,Yes,37,3690000000000000,Active,Aggressive,Aggressive,,,,,,Dispatched,,Yes,,1,1,Mar-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Takedown (II and III),Resisted HC,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,,,1056551,Central Precinct,3,,163527359,556492,Black,Male,Yes,24,164000000000000,Active,Active,Active,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,1,1,May-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Takedown (II and III),Resisted HC,Control Against Resistance,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,,,849828,TOD,17,,163527359,556492,Black,Male,Yes,24,164000000000000,Active,Active,Active,Active,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,1,1,May-18
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Takedown (II and III),Strikes/kicks,Control Against Resistance,,,,,1800-2359,Assault,ASSAULT - COLD,,,,No weapon (unarmed),275971,Central Precinct,2,,623537504,1631171,White,Female,Yes,46,625168675,Aggressive,Aggressive,Aggressive,Aggressive,,,,,Dispatched,,,,1,1,Jun-19
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Takedown (II and III),Strikes/kicks,Strikes/kicks,Strikes/kicks,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,Yes,,No weapon (unarmed),169261,Central Precinct,3,,754556645,156116,White,Male,Yes,52,754712761,Active,Active,Aggressive,Aggressive,Aggressive,,,,Dispatched,,,,1,1,Apr-21
,III,Arrest-Felony,Sunday,,,,Control Against Resistance,Takedown (IV),Hobble,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,Yes,,No weapon (unarmed),753121,Central Precinct,2,,317539131,3846466,Black,Male,Yes,45,321385597,Aggressive,Aggressive,Aggressive,,,,,,Dispatched,,Yes,,1,1,Oct-19
,III,Arrest-Felony,Sunday,,,,Less Lethal,,,,,,,,1800-2359,Threat,THREAT - WITH WEAPON *H,,,,,196561,Central Precinct,7,,573545893,1655327,Black,Male,No,25,575201220,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Jan-20
,III,Arrest-Felony,Sunday,,,,Less Lethal,,,,,,,,1800-2359,Threat,THREAT - WITH WEAPON *H,Knife / Edged Weapon / Stabbing Instrument,,,,215161,Central Precinct,3,,404548151,124400,White,Female,Yes,56,404672551,Aggressive,,,,,,,,Dispatched,,,,1,1,Aug-20
,III,Arrest-Felony,Sunday,,,,PIT - VIS,,,,,,,,0000-0559,Robbery,ROBBERY - WITH WEAPON *H,,,,,835131,East Precinct,5,,116558999,262599,White,Male,Yes,47,116821598,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Nov-21
,III,Arrest-Felony,Sunday,,,,PIT - VIS,,,,,,,,1800-2359,Area/Premise Check,AREA CHECK,,,,No weapon (unarmed),909731,North Precinct,6,,503527622,588594,Hispanic,Male,No,22,504000000000000,Aggressive,,,,,,,,Dispatched,,,,1,1,Jun-18
,III,Arrest-Felony,Sunday,,,,PIT - VIS,,,,,,,,1800-2359,Stolen Vehicle,VEHICLE RECOVERED,,,,No weapon (unarmed),172561,East Precinct,8,,525526413,604754,Black,Male,Yes,26,605000000000000,Active,,,,,,,,Self-Initiated,,,,1,1,Mar-18
,III,Arrest-Felony,Sunday,,,,PIT - VIS,,,,,,,,1800-2359,Stolen Vehicle,VEHICLE RECOVERED,,,,No weapon (unarmed),218358,K9,20,,525526413,604754,Black,Male,Yes,26,605000000000000,Active,,,,,,,,Self-Initiated,,,,1,1,Mar-18
,III,Arrest-Felony,Sunday,,,,PIT - VIS,,,,,,,,1800-2359,Stolen Vehicle,VEHICLE STOLEN - PRIORITY,,,,No weapon (unarmed),672111,North Precinct,4,,948556507,366786,Black,Male,Yes,39,948923293,Active,,,,,,,,Dispatched,,,,1,1,Mar-21
,III,Arrest-Felony,Sunday,,,,PIT - VIS,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,,No weapon (unarmed),386281,East Precinct,1,,660545814,3959132,White,Male,Yes,47,664504946,Active,,,,,,,,Self-Initiated,,Yes,,1,1,Jan-20
,III,Arrest-Felony,Sunday,,,,PIT - VIS,CEW,Control Against Resistance,,,,,,-,Theft,THEFT - COLD,,No,,,425590,East Precinct,16,"Attempted to ram officer with his vehicle, twice.",208519339,3784993,Black,Male,Yes,45,3780000000000000,Aggressive,Active,Active,,,,,,Dispatched,Yes,,,1,1,Nov-17
,III,Arrest-Felony,Sunday,,,,PIT - VIS,PFA,,,,,,,0600-1159,Collision,ACCIDENT - HIT & RUN - PRIORITY,,,,No weapon (unarmed),991239,East Precinct,19,,917548967,128059,White,Male,No,57,917677026,Active,Active,,,,,,,Dispatched,Yes,,,1,1,Nov-20
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,0000-0559,Area/Premise Check,AREA CHECK,,,,No weapon (unarmed),562201,East Precinct,2,,102537678,465120,Hispanic,Male,No,32,103002798,Active,,,,,,,,Self-Initiated,,,,1,1,Jun-19
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),275971,Central Precinct,1,,337535821,423985,White,Male,Yes,41,337959806,Active,,,,,,,,Dispatched,,,,1,1,Jan-19
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),183961,Central Precinct,3,,337535821,423985,White,Male,Yes,41,337959806,Active,,,,,,,,Dispatched,,,,1,1,Jan-19
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),591801,Central Precinct,4,,337535821,423985,White,Male,Yes,41,337959806,Active,,,,,,,,Dispatched,,,,1,1,Jan-19
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),775521,Central Precinct,9,,337535821,423985,White,Male,Yes,41,337959806,Active,,,,,,,,Dispatched,,,,1,1,Jan-19
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),515991,East Precinct,3,,475529022,527520,Hispanic,Male,No,28,476000000000000,Active,,,,,,,,Dispatched,Yes,,,1,1,Sep-18
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,Yes,,No weapon (unarmed),236671,East Precinct,7,,659536064,4013116,White,Male,No,32,663549180,Active,,,,,,,,Dispatched,Yes,Yes,,1,1,Feb-19
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,0000-0559,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,,No weapon (unarmed),776021,East Precinct,2,,878526246,1787475,Black,Female,No,18,1790000000000000,Active,,,,,,,,Dispatched,Yes,,,1,1,Feb-18
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,0600-1159,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,,No weapon (unarmed),396079,East Precinct,20,,886528406,598328,White,Male,No,22,887000000000000,Active,,,,,,,,Dispatched,,,,1,1,Aug-18
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,0600-1159,Unwanted Person,UNWANTED PERSON,,,,No weapon (unarmed),645211,Central Precinct,1,,853556086,4184472,White,Female,No,50,857740558,Active,,,,,,,,Dispatched,,,,1,1,Feb-21
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,1200-1759,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,,No weapon (unarmed),926741,East Precinct,4,,878526246,561797,Black,Male,No,18,562000000000000,Active,,,,,,,,Dispatched,,,,1,1,Feb-18
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,1200-1759,Vandalism,VANDALISM - PRIORITY,,,,No weapon (unarmed),779121,East Precinct,1,,119546709,4122489,White,Male,Yes,34,123669198,Active,,,,,,,,Dispatched,,Yes,,1,1,Mar-20
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,1800-2359,Disorder,911 HANGUP,,,,,648512,East Precinct,1,Biting,722557285,3834387,White,Male,No,34,726391672,Active,,,,,,,,Dispatched,Yes,,,1,1,Jun-21
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,1800-2359,Stolen Vehicle,VEHICLE STOLEN - COLD,,,,,351681,East Precinct,9,,654557794,610150,White,Male,Unknown,22,655167944,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Aug-21
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,1800-2359,Stolen Vehicle,VEHICLE STOLEN - COLD,,,,,915631,East Precinct,10,,654557794,610150,White,Male,Unknown,22,655167944,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Aug-21
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,,,373681,East Precinct,6,,163527359,556492,Black,Male,Yes,24,164000000000000,Active,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,1,1,May-18
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,1800-2359,Welfare Check,WELFARE CHECK - COLD,,,,No weapon (unarmed),553201,East Precinct,2,,893538246,1965690,White,Female,No,30,895503936,Aggressive,,,,,,,,Dispatched,Yes,,,1,1,Jul-19
,III,Arrest-Felony,Sunday,,,,Resisted HC,,,,,,,,1800-2359,Welfare Check,WELFARE CHECK - COLD,,,,No weapon (unarmed),867231,East Precinct,2,,893538246,1965690,White,Female,No,30,895503936,Aggressive,,,,,,,,Dispatched,Yes,,,1,1,Jul-19
,III,Arrest-Felony,Sunday,,,,Resisted HC,Control Against Resistance,,,,,,,0000-0559,Assist,FIRE RELATED,,,Needle / Spit / Bodily Fluids,,712811,East Precinct,2,,852553706,537630,Black,Female,Yes,26,853091336,Active,Active,,,,,,,Self-Initiated,,Yes,,1,1,Oct-20
,III,Arrest-Felony,Sunday,,,,Resisted HC,Control Against Resistance,,,,,,,0000-0559,Subject Stop,PERSON CONTACT (86),,,Needle / Spit / Bodily Fluids,,924241,Central Precinct,6,,250529770,3997155,White,Male,No,26,2510000000000000,Aggressive,Aggressive,,,,,,,Self-Initiated,Yes,Yes,,1,1,Dec-18
,III,Arrest-Felony,Sunday,,,,Resisted HC,Control Against Resistance,,,,,,,0000-0559,Subject Stop,PERSON CONTACT (86),,,Needle / Spit / Bodily Fluids,,736119,Central Precinct,20,,250529770,3997155,White,Male,No,26,2510000000000000,Aggressive,Aggressive,,,,,,,Self-Initiated,Yes,Yes,,1,1,Dec-18
,III,Arrest-Felony,Sunday,,,,Resisted HC,Control Against Resistance,,,,,,,1800-2359,Welfare Check,WELFARE CHECK - COLD,,,,No weapon (unarmed),536699,East Precinct,14,,893538246,1965690,White,Female,No,30,895503936,Aggressive,Active,,,,,,,Dispatched,Yes,,,1,1,Jul-19
,III,Arrest-Felony,Sunday,,,,Resisted HC,Control Against Resistance,,,,,,,-,Theft,THEFT - COLD,,No,,,212461,East Precinct,9,Vehicle,208519339,3784993,Black,Male,Yes,45,3780000000000000,Active,Active,,,,,,,Dispatched,Yes,,,1,1,Nov-17
,III,Arrest-Felony,Sunday,,,,Resisted HC,Control Against Resistance,,,,,,,-,Theft,THEFT - COLD,,No,,,166260,East Precinct,11,Vehicle,208519339,3784993,Black,Male,Yes,45,3780000000000000,Active,Active,,,,,,,Dispatched,Yes,,,1,1,Nov-17
,III,Arrest-Felony,Sunday,,,,Resisted HC,Resisted HC,Hobble,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),276171,East Precinct,2,,670537054,4032844,White,Male,Yes,27,674569898,Aggressive,Active,Active,,,,,,Dispatched,,,,1,1,Apr-19
